NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062069541,2024,16,F,2,3,1,1,18,,0,5300108,Brasília,53,DF,C,C,B,B,4,A,G,A,C,D,B,A,B,A,B,B,A,B,A,B,B,E,D
210062069542,2024,11,F,1,2,1,1,9,,0,4314407,Pelotas,43,RS,E,B,B,B,3,B,B,A,B,C,A,A,B,A,B,B,A,B,A,B,B,B,A
210062069543,2024,3,M,1,1,1,2,0,1.0,0,3115508,Caxambu,31,MG,E,D,F,F,4,A,D,A,B,D,B,B,B,A,B,B,A,B,A,B,B,D,A
210062069544,2024,10,F,1,3,1,1,8,,0,2506301,Guarabira,25,PB,C,E,A,A,6,A,B,A,B,C,A,B,B,A,B,A,A,B,A,B,A,D,A
210062069545,2024,16,F,1,3,1,1,18,,0,2111300,São Luís,21,MA,B,E,D,B,3,B,L,A,C,D,B,A,B,A,A,B,B,C,A,B,B,D,A
210062069546,2024,3,F,1,3,1,1,1,,0,3550308,São Paulo,35,SP,D,D,B,B,2,A,B,A,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A
210062069547,2024,11,F,1,3,1,1,10,,0,3550308,São Paulo,35,SP,E,E,C,C,1,B,C,A,B,B,A,A,B,A,B,B,B,B,B,B,B,B,A
210062069548,2024,12,M,1,1,1,1,15,,0,3118304,Conselheiro Lafaiete,31,MG,B,B,A,A,1,B,E,A,B,C,B,B,B,A,B,B,A,B,A,A,A,B,A
210062069549,2024,13,M,3,2,1,1,18,,0,2313203,Tamboril,23,CE,H,D,F,B,1,B,K,A,C,D,B,A,B,A,A,B,A,B,B,B,B,B,E
210062069550,2024,3,M,1,1,1,3,0,,1,4310330,Imbé,43,RS,E,F,C,D,3,B,E,A,B,B,B,A,B,A,B,B,B,C,B,B,B,C,B
210062069551,2024,3,M,1,1,1,1,1,,0,2800308,Aracaju,28,SE,G,G,E,E,4,A,N,A,D,D,C,A,B,B,B,B,B,C,B,B,C,E,C
210062069552,2024,3,M,1,2,1,1,1,,0,3144706,Nova Era,31,MG,E,D,C,B,3,A,C,A,B,C,B,A,B,A,B,A,A,A,A,B,B,D,A
210062069553,2024,11,M,3,1,1,1,9,,0,4307708,Esteio,43,RS,F,G,B,D,4,B,Q,A,D,D,D,A,C,B,B,B,B,D,A,B,D,E,D
210062069554,2024,11,M,1,1,1,1,9,,0,4321204,Taquara,43,RS,C,B,C,C,3,B,D,A,B,C,B,B,B,A,A,B,A,B,A,B,A,C,A
210062069555,2024,6,F,1,3,1,1,5,,0,4107652,Fazenda Rio Grande,41,PR,E,E,C,D,4,B,G,A,C,D,C,B,B,A,B,B,B,D,B,B,B,E,A
210062069556,2024,1,M,1,1,1,3,0,,1,4321808,Três de Maio,43,RS,E,F,D,D,3,A,G,A,C,C,B,A,B,B,B,B,A,B,A,B,A,D,A
210062069557,2024,2,F,1,1,1,2,0,1.0,0,4309308,Guaíba,43,RS,E,D,F,C,3,A,B,A,B,C,B,A,B,B,B,A,B,C,A,B,C,C,A
210062069558,2024,3,M,1,1,1,2,0,1.0,0,4304804,Carlos Barbosa,43,RS,E,H,B,B,3,B,D,A,B,D,B,A,B,A,B,A,B,C,A,B,A,D,A
